kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
6428794,K04054.01,1,CANDIDATE,0.9990000000000001,169.135056,16.663416,2.21,0.15,-0.12,0.025256,0.004006,-0.002613,0.7959999999999999,0.035,-0.033,5171,2.200194588975585,0.36214635874237466,-0.24522839132360227,5478,6428794,169.135,0.00067,0.9984627121082031,0.4715641360923886,0.9986260471177278,0.00067,0.997956967666159
4673628,K04056.01,1,CANDIDATE,0.838,3.951383138,16.476116,23.51,5.67,-3.06,0.23944,6.708576,-0.124795,1.247,0.095,-0.086,5570,32.677333686131384,915.5495610554161,-17.179726226315868,5480,4673628,3.951,0.99,0.9954334073430477,0.012077469261553102,0.9999439167577515,0.99,0.009999439167577524
6933567,K02643.01,1,CANDIDATE,0.9179999999999999,9.08233411,15.25862,1.35,0.24,-0.13,0.015633,0.000831,-0.000724,0.826,0.065,-0.06,5354,1.4132071656493834,0.134203738042043,-0.12174338918959625,3005,6933567,9.082,0.0014,0.9929365211605343,0.018071111661645902,0.9998690812060149,0.0014,0.9984692644923265
11962284,K02647.01,1,CANDIDATE,0.9990000000000001,8.83929462,12.429709,1.94,0.35,-0.21,0.020396,0.000366,-0.004828,0.7120000000000001,0.054000000000000006,-0.049,5330,1.589309401963252,0.12386550462976645,-0.3917875138584438,3009,11962284,8.839,0.0016,0.9773025441323518,0.03341042620560122,0.9991972356815781,0.0016,0.9975985201044876
3346154,K02723.01,1,CANDIDATE,1.0,1.952711161,21.784075,2.58,0.76,-0.26,0.024933,0.000925,-0.006212,1.062,0.08199999999999999,-0.075,5741,2.8978940917128115,0.24824289847936104,-0.7504481356526652,3450,3346154,1.953,0.17,0.9989867578147187,0.0034987015418628765,0.999996438913205,0.17,0.8299970442979601
11283615,K02816.01,1,CANDIDATE,1.0,1.2895901790000002,14.052365,1.38,0.28,-0.12,0.015625,0.000533,-0.0008619999999999999,0.767,0.064,-0.057999999999999996,5467,1.3115922614365718,0.11823400701236227,-0.12277082381224477,3848,11283615,1.29,0.00077,0.9877450978031491,0.019289798922461642,0.9997559650807549,0.00077,0.9989861529876427
4939533,K02899.01,1,CANDIDATE,0.985,5.77207177,12.219349,1.54,0.31,-0.15,0.016375,0.000987,-0.0008849999999999998,1.031,0.098,-0.08800000000000001,5591,1.8476658401239616,0.20796044367313038,-0.18666234044327784,3549,4939533,5.772,0.0027,0.9745984330405352,0.03235049096045256,0.9991286400502009,0.0027,0.9964309927220653
12021625,K02996.01,1,CANDIDATE,1.0,15.931441199999998,11.741651,1.77,0.3,-0.14,0.022469,7.099999999999999e-05,-0.002362,0.8220000000000001,0.07400000000000001,-0.067,5380,2.0213383577586206,0.1820816967936167,-0.26887904828841513,3987,12021625,15.931,0.051,0.9713844701541939,0.046372207665052116,0.9985675168959075,0.051,0.9476405735342162
4175630,K02998.01,1,CANDIDATE,1.0,28.227413,19.216913,2.82,0.74,-0.26,0.030469,0.001181,-0.0007610000000000001,1.005,0.1,-0.08900000000000001,5858,3.35125687712371,0.3578655545533899,-0.30835553504909086,3989,4175630,28.227,0.00052,0.9984103373156956,0.012339544623151545,0.9999801075910875,0.00052,0.9994601179351401
6071903,K00306.01,1,CANDIDATE,1.0,24.30784323,68.078026,2.14,0.21,-0.09,0.023893,0.00034,-0.001066,0.8290000000000001,0.035,-0.033,5313,2.1677473764944626,0.0965800355340301,-0.1296151018200467,84,6071903,24.308,0.00071,0.9993751676130803,1.879582823400981e-07,0.9999999998824841,0.00071,0.9992899998825676
7668416,K03089.01,1,CANDIDATE,1.0,0.858546796,10.256069,0.88,0.15,-0.1,0.009355,0.004999,-0.00123,0.809,0.062,-0.055999999999999994,5269,0.8282773190127108,0.447132506782491,-0.12307293124718255,3691,7668416,0.859,0.38,0.9402410678609932,0.0437012210061188,0.9970955521577213,0.38,0.6181992423377872
6609270,K03090.01,1,CANDIDATE,0.614,3.82223397,14.09941,1.05,0.06,-0.07,0.018736000000000003,0.0057,-0.001585,0.614,0.019,-0.019,3729,1.259008622703247,0.385000910033348,-0.11340961712940856,3692,6609270,3.822,0.017,0.9882173920141533,0.020378977247396242,0.9997519648540327,0.017,0.9827561814515141
12253769,K03310.01,1,CANDIDATE,0.904,20.5512722,15.7864275,1.64,0.18,-0.13,0.016358,0.0004969999999999999,-0.003652,0.893,0.038,-0.036000000000000004,5401,1.5986931657123082,0.08359012701103136,-0.36268789395685386,4509,12253769,20.551,0.0084,0.9947310638504082,0.021619864881400677,0.999882952375415,0.0084,0.9914839355754616
12735830,K03311.01,1,CANDIDATE,1.0,31.827649,14.016273000000002,4.98,0.79,-3.15,0.023361,0.004895,-0.0031100000000000004,0.736,0.038,-0.036000000000000004,4693,1.881710028190284,0.4060814226511869,-0.2668813726755825,4510,12735830,31.828,0.26,0.9902032382860615,0.04239816930755217,0.999561953373885,0.26,0.7396758454966749
11905409,K03312.01,1,CANDIDATE,1.0,18.0939004,9.789039,1.91,0.48,-0.16,0.020174,0.000739,-0.001748,1.01,0.114,-0.1,5904,2.229958834319154,0.2646218040209995,-0.2933944618112735,4511,11905409,18.094,0.0033,0.9367373753587337,0.07395099094355752,0.9946068886909484,0.0033,0.9913246859582683
9085563,K03393.01,1,CANDIDATE,0.966,54.6493679,12.118849,2.64,0.44,-0.45,0.018829,0.001068,-0.000767,1.358,0.095,-0.087,5751,2.7984044389315375,0.2520287530157081,-0.2124510967610536,4196,9085563,54.649,0.00039,0.9820472493034113,0.1099928363594581,0.9977407228213134,0.00039,0.9973516039394131
5710069,K03396.01,1,CANDIDATE,0.951,36.2580749,11.612474,1.82,0.43,-0.15,0.019643,0.005756,-0.002111,1.228,0.121,-0.10800000000000001,5818,2.6399131485653156,0.8161385290509833,-0.36659894737974286,4199,5710069,36.258,0.00092,0.9743098195919616,0.07869827455720113,0.997747662847573,0.00092,0.9968297349977532
10878263,K00341.01,1,CANDIDATE,1.0,7.170710381,104.67581,2.73,0.32,-0.26,0.026573000000000003,0.00059,-0.000372,0.8809999999999999,0.038,-0.036000000000000004,5497,2.56212286120375,0.1242936324443668,-0.11066868615636977,269,10878263,7.171,0.00035,0.999375167613531,3.1583367390474894e-11,0.9999999999999802,0.00035,0.9996499999999803
10878263,K00341.02,2,CANDIDATE,1.0,4.699652821,41.030235,1.74,0.2,-0.17,0.016925,0.000539,-0.000351,0.8809999999999999,0.038,-0.036000000000000004,5497,1.6318793296155294,0.08749416160450482,-0.07477933174796318,305,10878263,4.7,0.00055,0.9993750884772149,4.9525208903524346e-05,0.9999999690302401,0.00055,0.9994499690472735
3101923,K03483.01,1,CANDIDATE,0.7709999999999999,82.331756,9.593206,2.08,0.34,-0.28,0.015333,0.000682,-0.001207,1.443,0.09300000000000001,-0.086,5997,2.4214578983608104,0.18961860904506642,-0.2390829594544942,4613,3101923,82.332,0.0014,0.958581574570852,0.3102427798800266,0.9805656537646155,0.0014,0.9791928618493451
4150804,K03678.01,1,CANDIDATE,1.0,160.88451966,288.8604,9.09,3.04,-2.02,0.079769,0.000131,-0.0006519999999999999,0.902,0.038,-0.036000000000000004,5650,7.874520915649385,0.3319945233273854,-0.32080534182178816,4666,4150804,160.885,0.0053,0.999375167613531,1.760455304543876e-27,1.0,0.0053,0.9947
9353742,K03867.01,1,CANDIDATE,1.0,0.938750221,38.891384,1.46,0.19,-0.06,0.01514,0.000505,-0.000262,0.938,0.045,-0.043,5497,1.5542188402970047,0.09081378943359848,-0.07615636136848779,4683,9353742,0.939,2.6e-05,0.9993749581333079,7.26075666516368e-05,0.9999999545855497,2.6e-05,0.9999739545867304
6842682,K02649.01,1,CANDIDATE,0.992,7.56126152,13.309786,1.2,0.34,-0.11,0.012323,0.000642,-0.000499,0.991,0.078,-0.071,5853,1.3365141423514975,0.12615149525055688,-0.10999025954909722,3011,6842682,7.561,0.00018,0.9841276390331518,0.026685662108264462,0.999557803842689,0.00018,0.9993778834379974
8890150,K02650.01,1,CANDIDATE,0.985,34.9897847,10.0909195,1.14,0.07,-0.1,0.020074,0.001455,-0.000907,0.644,0.02,-0.02,3765,1.4148266862572363,0.11156590512752525,-0.07757014247443537,3012,8890150,34.99,0.0012,0.9510458811060276,0.10419541487090954,0.9940128092280395,0.0012,0.9928199938569658
8890150,K02650.02,2,CANDIDATE,0.983,7.05429483,8.993364999999997,1.0,0.06,-0.09,0.017602,0.000857,-0.001446,0.644,0.02,-0.02,3765,1.24059875119557,0.07164343546112263,-0.10895431894886932,3013,8890150,7.054,0.21,0.9051263802111937,0.06668548809659647,0.9925107286906223,0.21,0.7840834756655917
8415200,K02730.01,1,CANDIDATE,0.9890000000000001,4.52158614,22.59492,1.31,0.21,-0.24,0.009333,0.000379,-0.00029,1.3159999999999998,0.059000000000000004,-0.055,5578,1.3441898470299518,0.08131004487963642,-0.07000356506595587,3490,8415200,4.522,5.1e-05,0.9991091489262695,0.0031199329706381664,0.9999972094197044,5.1e-05,0.999946209562024
11963206,K02820.01,1,CANDIDATE,1.0,3.00912491,14.820099,1.22,0.16,-0.04,0.012546,0.0006580000000000001,-0.000496,0.8909999999999999,0.048,-0.045,5699,1.2233942723068207,0.09198172215165586,-0.07846658447465794,3885,11963206,3.009,0.00019,0.9911718259294446,0.017018765562840616,0.9998457927586974,0.00019,0.9996558220580732
4249611,K02821.01,1,CANDIDATE,0.983,79.2450351,12.376152,3.33,0.92,-0.46,0.033253,0.001825,-0.001404,0.922,0.075,-0.068,5648,3.355407021803423,0.3292585580391771,-0.2851531217377609,3886,4249611,79.245,0.0099,0.9867245188034299,0.1819639678097664,0.9970072715195197,0.0099,0.9871368995314764
8263545,K02822.01,1,CANDIDATE,0.9990000000000001,4.44589508,18.886185,1.94,0.58,-0.19,0.020568,0.002759,-0.001416,1.2670000000000001,0.109,-0.098,5918,2.852017159451296,0.4544902971525087,-0.29532263623846555,3887,8263545,4.446,0.00089,0.9980135445429713,0.00714750886540359,0.9999856711159388,0.00089,0.9990956838686457
10190075,K03007.01,1,CANDIDATE,0.946,11.1916199,10.262078,1.47,0.2,-0.1,0.014113,0.002443,-0.00259,1.053,0.049,-0.046,5638,1.6264142410174929,0.2915320662072813,-0.3068172699268963,4034,10190075,11.192,0.038,0.945013414466068,0.05650027479921481,0.9965156035616978,0.038,0.9586480106263532
12352520,K03094.01,1,CANDIDATE,1.0,4.5770016,13.234282,1.33,0.08,-0.07,0.024527,0.001348,-0.001164,0.507,0.015,-0.015,3805,1.360930183000881,0.08494541509288533,-0.0761096125636079,3731,12352520,4.577,0.0084,0.9832278365408618,0.025133763308461052,0.9995602079116951,0.0084,0.9911639021652369
9650989,K03095.01,1,CANDIDATE,1.0,3.42390809,10.919047,1.25,0.2,-0.08,0.011291,0.000717,-0.000553,0.966,0.054000000000000006,-0.051,5787,1.1936939410080543,0.1009879979268066,-0.08596310353206753,3732,9650989,3.424,0.022,0.9554542131071295,0.04041107033182277,0.9980365860172766,0.022,0.9760797811248966
9527334,K00049.01,1,CANDIDATE,1.0,8.31377304,92.30504,2.74,0.43,-0.13,0.026357,0.001241,-0.000811,1.31,0.055999999999999994,-0.053,5900,3.7787723412723375,0.24031112862560072,-0.19207290099610844,488,9527334,8.314,8.5e-11,0.999375167613531,5.274821656086203e-10,0.9999999999996702,8.5e-11,0.9999999999146701
9571186,K03313.01,1,CANDIDATE,1.0,34.9524256,13.590603,21.74,1.81,-1.51,0.255517,70.16925,-3.3090589999999995,0.7240000000000001,0.054000000000000006,-0.049,4921,20.24612070154795,5559.924222009201,-262.19986455571023,4512,9571186,34.952,0.96,0.9886152192517138,0.050240318650147844,0.9993908334673547,0.96,0.03997563333869422
9031209,K03316.01,1,CANDIDATE,0.996,47.05684760000001,24.130754,2.84,0.47,-0.22,0.03515,0.001272,-0.0006309999999999999,0.8009999999999999,0.065,-0.059000000000000004,5288,3.0813519152718345,0.27378369156459437,-0.23360938915208365,4549,9031209,47.057,8.5e-05,0.999280438191693,0.006737429829470976,0.9999951156035849,8.5e-05,0.9999101160187586
9966219,K03401.01,1,CANDIDATE,0.996,17.9559673,10.403063,1.96,0.28,-0.33,0.014983000000000003,0.000866,-0.004997,0.951,0.054000000000000006,-0.051,5637,1.5594187512742261,0.12635083256127047,-0.5267644812886876,4241,9966219,17.956,0.0042,0.9508048020738481,0.064813264864725,0.9964141104671311,0.0042,0.9922291712031692
9025971,K03680.01,1,CANDIDATE,0.9990000000000001,141.2415405,336.2867,11.49,1.66,-1.21,0.103416,0.000364,-0.000305,1.014,0.053,-0.05,5705,11.476491687138182,0.6012146287193952,-0.5669132649155328,4668,9025971,141.242,0.014,0.999375167613531,2.4182864758522664e-32,1.0,0.014,0.986
